DVID,DATE1,VENUE,HOUSE,ADDRESS,GUEST,STATUS,BOOKING_ID,PURPOSE1,CONTRACTOR1,SOURCE1,BOOKING_DATE,AMOUNT1,STATUS1,NOTE,EXPENSE_ID,BOOKING_ID1,PURPOSE2,CONTRACTOR2,SOURCE2,PAYMENT_DATE,AMOUNT2,REMAINING,STATUS2,PAID_BY
DVID01,24-11-2025,"CHOWDHURY VILLA, TOLLYGUNGE",MARRIAGE,"77, Netaji Subhash Chandra Bose Rd, Composite Housing Estate, Regent Park, Kolkata, West Bengal 700040, India",300,CONFIRMED,Null,Null,Null,Null,04-03-2025,0,Null,Null,Null,Null,Null,Null,Null,04-03-2025,0.1,0.1,Null,Null
DVID02,26-11-2025,RAILWAY OFFICER'S CLUB; NEW ALIPORE,RECEPTION,,450,PENDING,Null,Null,Null,Null,05-03-2025,0,Null,Null,Null,Null,Null,Null,Null,05-03-2025,0.1,0.1,Null,Null
DVID03,07-05-2025,"ADITI DEB'S OFFICE, BAGHAJATIN",REGISTRY,,36,CONFIRMED,Null,Null,Null,Null,06-03-2025,0,Null,Null,Null,Null,Null,Null,Null,06-03-2025,0.1,0.1,Null,Null
